,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51,G_52,G_53,G_54,G_55,G_56,G_57,G_58,G_59,G_60,G_61,G_62,G_63,G_64,G_65,G_66,G_67,G_68,G_69,G_70,G_71,G_72,G_73,G_74,G_75,G_76,G_77,G_78,G_79,G_80,G_81,G_82,G_83,G_84,G_85,G_86,G_87,G_88,G_89,G_90,G_91,G_92,G_93,G_94,G_95,G_96,G_97,G_98,G_99,G_100,G_101,G_102,G_103,G_104,G_105,G_106,G_107,G_108,G_109,G_110,G_111,G_112,G_113,G_114,G_115,G_116,G_117,G_118,G_119,G_120,G_121,G_122,G_123,G_124,G_125,G_126,G_127,G_128,G_129,G_130,G_131,G_132,G_133,G_134,G_135,G_136,G_137,G_138,G_139,G_140,G_141,G_142,G_143,G_144,G_145,G_146,G_147,G_148,G_149,G_150,G_151,G_152,G_153,G_154,G_155,G_156,G_157,G_158,G_159,G_160,G_161,G_162,G_163,G_164,G_165,G_166,G_167,G_168,G_169,G_170,G_171,G_172,G_173,G_174,G_175,G_176,G_177,G_178,G_179,G_180,G_181,G_182,G_183,G_184,G_185,G_186,G_187,G_188,G_189,G_190,G_191,G_192,G_193,G_194,G_195,G_196,G_197,G_198,G_199,G_200,G_201,G_202,G_203,G_204,G_205,G_206,G_207,G_208,G_209,G_210,G_211,G_212,G_213,G_214,G_215,G_216,G_217,G_218,G_219,G_220,G_221,G_222,G_223,G_224,G_225,G_226,G_227,G_228,G_229,G_230,G_231,G_232,G_233,G_234,G_235,G_236,G_237,G_238,G_239,G_240,G_241,G_242,G_243,G_244,G_245,G_246,G_247,G_248,G_249,G_250,G_251,G_252,G_253,G_254,G_255,G_256,G_257,G_258,G_259,G_260,G_261,G_262,G_263,G_264,G_265,G_266,G_267,G_268,G_269,G_270,G_271,G_272,G_273,G_274,G_275,G_276,G_277,G_278,G_279,G_280,G_281,G_282,G_283,G_284,G_285,G_286,G_287,G_288,G_289,G_290,G_291,G_292,G_293,G_294,G_295,G_296,G_297,G_298,G_299,G_300,G_301
G_243,1.0,81.0,3.0,121.0,81.0,141.0,40.0,21.0,2.0,21.0,41.0,21.0,41.0,61.0,61.0,22.0,120.0,25.0,43.0,61.0,142.0,61.0,43.0,42.0,141.0,42.0,21.0,3.0,21.0,81.0,122.0,3.0,3.0,43.0,3.0,21.0,42.0,24.0,1.0,61.0,21.0,21.0,21.0,22.0,61.0,61.0,61.0,61.0,61.0,61.0,21.0,61.0,60.0,41.0,43.0,2.0,61.0,44.0,20.0,23.0,123.0,61.0,61.0,41.0,21.0,41.0,61.0,1.0,2.0,61.0,121.0,21.0,41.0,63.0,23.0,81.0,41.0,80.0,3.0,25.0,121.0,61.0,100.0,24.0,62.0,41.0,21.0,81.0,1.0,41.0,82.0,22.0,61.0,24.0,1.0,23.0,61.0,41.0,2.0,41.0,21.0,81.0,102.0,61.0,3.0,3.0,103.0,41.0,41.0,101.0,23.0,42.0,41.0,47.0,44.0,65.0,3.0,40.0,61.0,61.0,81.0,2.0,2.0,60.0,43.0,22.0,121.0,21.0,40.0,63.0,3.0,61.0,61.0,61.0,25.0,22.0,61.0,101.0,101.0,81.0,23.0,41.0,40.0,23.0,42.0,101.0,21.0,21.0,21.0,140.0,41.0,60.0,65.0,61.0,41.0,61.0,121.0,61.0,40.0,23.0,43.0,61.0,3.0,81.0,42.0,142.0,41.0,21.0,3.0,41.0,21.0,41.0,1.0,40.0,200.0,41.0,21.0,81.0,2.0,22.0,62.0,61.0,22.0,21.0,41.0,2.0,44.0,62.0,41.0,1.0,21.0,62.0,22.0,41.0,22.0,40.0,22.0,65.0,21.0,103.0,141.0,3.0,25.0,1.0,61.0,25.0,23.0,62.0,23.0,62.0,61.0,41.0,61.0,81.0,62.0,61.0,42.0,61.0,61.0,65.0,23.0,2.0,42.0,61.0,102.0,22.0,62.0,61.0,1.0,82.0,41.0,22.0,22.0,1.0,41.0,42.0,40.0,40.0,61.0,23.0,3.0,80.0,64.0,0.0,121.0,101.0,61.0,41.0,43.0,21.0,23.0,41.0,22.0,41.0,41.0,4.0,25.0,61.0,41.0,41.0,21.0,40.0,60.0,41.0,81.0,43.0,41.0,2.0,43.0,61.0,61.0,23.0,181.0,63.0,3.0,3.0,43.0,2.0,41.0,60.0,41.0,63.0,21.0,21.0,61.0,23.0,43.0,2.0,43.0,41.0,4.0,21.0,3.0,41.0,42.0,81.0,29.0,23.0,81.0,61.0,21.0,1160.0
G_244,120.0,43.0,121.0,7.0,45.0,21.0,160.0,140.0,120.0,140.0,84.0,140.0,80.0,66.0,65.0,140.0,11.0,105.0,160.0,180.0,27.0,62.0,161.0,84.0,21.0,82.0,100.0,120.0,141.0,200.0,10.0,120.0,120.0,85.0,121.0,141.0,84.0,105.0,120.0,64.0,140.0,100.0,141.0,102.0,180.0,180.0,65.0,180.0,180.0,180.0,140.0,180.0,65.0,160.0,161.0,120.0,180.0,83.0,140.0,140.0,7.0,180.0,63.0,160.0,140.0,160.0,180.0,121.0,121.0,180.0,6.0,101.0,160.0,66.0,140.0,47.0,83.0,47.0,122.0,105.0,6.0,180.0,27.0,105.0,67.0,160.0,101.0,200.0,120.0,160.0,47.0,103.0,180.0,104.0,121.0,141.0,180.0,160.0,120.0,160.0,140.0,200.0,26.0,180.0,121.0,120.0,27.0,160.0,81.0,26.0,140.0,84.0,160.0,84.0,86.0,65.0,120.0,160.0,65.0,180.0,200.0,122.0,120.0,180.0,85.0,141.0,9.0,140.0,81.0,66.0,120.0,180.0,180.0,180.0,105.0,103.0,181.0,27.0,20.0,45.0,140.0,160.0,84.0,103.0,85.0,20.0,101.0,140.0,141.0,29.0,83.0,65.0,60.0,180.0,160.0,180.0,2.0,65.0,81.0,102.0,85.0,180.0,120.0,47.0,84.0,30.0,82.0,100.0,120.0,160.0,140.0,160.0,120.0,160.0,85.0,160.0,141.0,47.0,121.0,103.0,64.0,180.0,141.0,140.0,80.0,121.0,86.0,66.0,160.0,120.0,140.0,65.0,101.0,160.0,141.0,160.0,102.0,60.0,141.0,28.0,29.0,120.0,103.0,121.0,66.0,105.0,140.0,66.0,140.0,64.0,180.0,160.0,180.0,200.0,66.0,180.0,84.0,180.0,180.0,64.0,140.0,120.0,82.0,180.0,28.0,140.0,66.0,180.0,120.0,40.0,160.0,141.0,140.0,120.0,160.0,83.0,81.0,160.0,62.0,103.0,121.0,47.0,60.0,121.0,0.0,27.0,63.0,160.0,162.0,140.0,103.0,161.0,101.0,160.0,160.0,123.0,105.0,180.0,160.0,160.0,140.0,84.0,180.0,160.0,200.0,85.0,160.0,121.0,85.0,180.0,65.0,141.0,60.0,60.0,120.0,122.0,85.0,120.0,84.0,180.0,160.0,65.0,141.0,100.0,180.0,102.0,84.0,120.0,161.0,83.0,123.0,140.0,121.0,160.0,82.0,200.0,104.0,140.0,200.0,180.0,103.0,1040.0
G_245,100.0,22.0,101.0,26.0,23.0,47.0,140.0,120.0,100.0,120.0,63.0,120.0,62.0,44.0,43.0,120.0,24.0,83.0,140.0,160.0,48.0,44.0,141.0,63.0,47.0,60.0,81.0,100.0,121.0,180.0,28.0,100.0,100.0,63.0,101.0,121.0,63.0,83.0,100.0,45.0,120.0,81.0,121.0,82.0,160.0,160.0,43.0,160.0,160.0,160.0,120.0,160.0,43.0,140.0,141.0,100.0,160.0,66.0,120.0,120.0,26.0,160.0,40.0,140.0,120.0,140.0,160.0,101.0,101.0,160.0,26.0,81.0,140.0,47.0,120.0,24.0,63.0,24.0,102.0,83.0,26.0,160.0,5.0,83.0,44.0,140.0,81.0,180.0,100.0,140.0,25.0,83.0,160.0,83.0,101.0,121.0,160.0,140.0,101.0,140.0,120.0,180.0,6.0,160.0,101.0,101.0,6.0,140.0,61.0,8.0,120.0,63.0,140.0,68.0,67.0,48.0,100.0,140.0,43.0,160.0,180.0,102.0,101.0,160.0,64.0,121.0,25.0,120.0,62.0,47.0,100.0,160.0,160.0,160.0,83.0,83.0,161.0,7.0,7.0,23.0,120.0,140.0,63.0,83.0,63.0,7.0,81.0,120.0,121.0,46.0,60.0,43.0,47.0,160.0,140.0,160.0,27.0,42.0,61.0,83.0,64.0,160.0,100.0,28.0,63.0,46.0,62.0,80.0,100.0,140.0,120.0,140.0,100.0,140.0,104.0,140.0,121.0,24.0,101.0,83.0,44.0,160.0,121.0,120.0,61.0,101.0,67.0,45.0,140.0,100.0,120.0,44.0,82.0,140.0,121.0,140.0,82.0,47.0,121.0,10.0,45.0,100.0,80.0,101.0,44.0,83.0,120.0,44.0,121.0,43.0,160.0,140.0,160.0,180.0,45.0,160.0,63.0,160.0,160.0,48.0,121.0,100.0,64.0,160.0,6.0,121.0,47.0,160.0,100.0,26.0,140.0,121.0,120.0,100.0,140.0,63.0,62.0,140.0,45.0,80.0,101.0,24.0,47.0,101.0,27.0,0.0,40.0,140.0,142.0,120.0,83.0,141.0,81.0,140.0,140.0,103.0,83.0,160.0,140.0,140.0,120.0,63.0,160.0,140.0,180.0,61.0,140.0,101.0,63.0,160.0,43.0,121.0,87.0,45.0,100.0,102.0,64.0,100.0,63.0,160.0,140.0,45.0,121.0,80.0,160.0,83.0,65.0,100.0,141.0,63.0,103.0,120.0,101.0,140.0,60.0,180.0,88.0,120.0,180.0,160.0,83.0,1060.0
G_246,60.0,22.0,61.0,63.0,22.0,83.0,100.0,80.0,60.0,80.0,23.0,80.0,22.0,5.0,4.0,80.0,62.0,44.0,100.0,120.0,84.0,4.0,101.0,23.0,83.0,22.0,41.0,60.0,81.0,140.0,64.0,60.0,60.0,24.0,61.0,81.0,23.0,44.0,60.0,5.0,80.0,41.0,81.0,42.0,120.0,120.0,4.0,120.0,120.0,120.0,80.0,120.0,4.0,100.0,101.0,60.0,120.0,26.0,80.0,80.0,64.0,120.0,2.0,100.0,80.0,100.0,120.0,61.0,61.0,120.0,63.0,41.0,100.0,7.0,80.0,24.0,23.0,24.0,62.0,44.0,63.0,120.0,43.0,44.0,6.0,100.0,41.0,140.0,60.0,100.0,25.0,43.0,120.0,43.0,61.0,81.0,120.0,100.0,61.0,100.0,80.0,140.0,43.0,120.0,61.0,61.0,44.0,100.0,21.0,44.0,80.0,23.0,100.0,28.0,27.0,8.0,60.0,100.0,4.0,120.0,140.0,62.0,61.0,120.0,24.0,81.0,63.0,80.0,22.0,7.0,60.0,120.0,120.0,120.0,44.0,43.0,121.0,43.0,43.0,21.0,80.0,100.0,23.0,43.0,24.0,43.0,41.0,80.0,81.0,83.0,20.0,4.0,7.0,120.0,100.0,120.0,63.0,2.0,21.0,43.0,24.0,120.0,60.0,26.0,23.0,84.0,22.0,40.0,60.0,100.0,80.0,100.0,60.0,100.0,142.0,100.0,81.0,24.0,61.0,43.0,4.0,120.0,81.0,80.0,21.0,61.0,27.0,5.0,100.0,60.0,80.0,5.0,42.0,100.0,81.0,100.0,42.0,7.0,81.0,46.0,82.0,60.0,42.0,61.0,5.0,44.0,80.0,5.0,81.0,3.0,120.0,100.0,120.0,140.0,5.0,120.0,23.0,120.0,120.0,8.0,81.0,60.0,24.0,120.0,44.0,81.0,7.0,120.0,60.0,24.0,100.0,81.0,80.0,60.0,100.0,23.0,22.0,100.0,5.0,40.0,61.0,24.0,7.0,61.0,63.0,40.0,0.0,100.0,102.0,80.0,43.0,101.0,41.0,100.0,100.0,63.0,44.0,120.0,100.0,100.0,80.0,23.0,120.0,100.0,140.0,22.0,100.0,61.0,24.0,120.0,4.0,81.0,123.0,5.0,60.0,62.0,24.0,60.0,23.0,120.0,100.0,5.0,81.0,40.0,120.0,43.0,25.0,60.0,101.0,23.0,63.0,80.0,61.0,100.0,22.0,140.0,48.0,80.0,140.0,120.0,43.0,1100.0
G_247,40.0,120.0,42.0,160.0,120.0,180.0,2.0,22.0,41.0,21.0,81.0,21.0,80.0,101.0,100.0,22.0,160.0,64.0,2.0,22.0,182.0,100.0,4.0,81.0,180.0,81.0,60.0,41.0,22.0,42.0,161.0,41.0,41.0,82.0,42.0,23.0,81.0,62.0,40.0,100.0,21.0,60.0,23.0,61.0,20.0,22.0,100.0,22.0,22.0,20.0,21.0,22.0,100.0,4.0,4.0,41.0,22.0,82.0,21.0,20.0,162.0,20.0,100.0,0.0,21.0,2.0,22.0,41.0,41.0,22.0,161.0,60.0,3.0,101.0,22.0,120.0,80.0,120.0,41.0,64.0,161.0,22.0,140.0,62.0,102.0,2.0,60.0,42.0,40.0,2.0,121.0,62.0,22.0,63.0,41.0,22.0,22.0,2.0,41.0,3.0,21.0,42.0,141.0,20.0,42.0,41.0,142.0,2.0,80.0,140.0,22.0,81.0,3.0,84.0,83.0,103.0,42.0,2.0,100.0,22.0,40.0,41.0,41.0,22.0,82.0,22.0,160.0,21.0,80.0,101.0,41.0,20.0,22.0,22.0,62.0,60.0,23.0,140.0,140.0,120.0,22.0,2.0,81.0,62.0,82.0,140.0,60.0,21.0,20.0,180.0,80.0,100.0,104.0,20.0,3.0,20.0,160.0,100.0,80.0,61.0,82.0,22.0,42.0,121.0,81.0,181.0,80.0,60.0,41.0,3.0,21.0,2.0,40.0,2.0,240.0,0.0,22.0,120.0,42.0,62.0,101.0,20.0,22.0,22.0,80.0,41.0,83.0,101.0,2.0,40.0,21.0,101.0,61.0,2.0,23.0,3.0,61.0,102.0,22.0,141.0,180.0,42.0,64.0,41.0,101.0,64.0,20.0,101.0,20.0,101.0,22.0,2.0,22.0,42.0,101.0,22.0,81.0,20.0,20.0,102.0,22.0,41.0,81.0,20.0,141.0,22.0,101.0,22.0,40.0,121.0,3.0,23.0,22.0,40.0,2.0,81.0,80.0,3.0,100.0,62.0,42.0,120.0,102.0,41.0,160.0,140.0,100.0,0.0,4.0,21.0,62.0,3.0,61.0,2.0,0.0,41.0,62.0,22.0,2.0,2.0,21.0,81.0,22.0,2.0,42.0,82.0,3.0,41.0,82.0,20.0,100.0,22.0,220.0,102.0,41.0,41.0,82.0,41.0,81.0,20.0,3.0,102.0,22.0,60.0,20.0,61.0,82.0,41.0,4.0,80.0,43.0,21.0,42.0,3.0,81.0,42.0,64.0,22.0,42.0,20.0,61.0,1200.0
G_248,42.0,122.0,43.0,162.0,122.0,182.0,5.0,23.0,43.0,23.0,83.0,23.0,82.0,103.0,102.0,22.0,162.0,64.0,5.0,23.0,184.0,102.0,6.0,83.0,182.0,83.0,62.0,43.0,24.0,44.0,162.0,43.0,43.0,83.0,43.0,24.0,82.0,64.0,42.0,101.0,23.0,62.0,24.0,63.0,23.0,22.0,102.0,22.0,21.0,23.0,23.0,23.0,102.0,4.0,6.0,43.0,22.0,82.0,23.0,24.0,164.0,23.0,102.0,4.0,23.0,2.0,21.0,43.0,43.0,21.0,163.0,62.0,4.0,102.0,24.0,122.0,81.0,122.0,42.0,66.0,163.0,21.0,142.0,64.0,103.0,4.0,62.0,42.0,42.0,5.0,123.0,64.0,23.0,65.0,43.0,24.0,22.0,4.0,43.0,4.0,23.0,42.0,143.0,23.0,43.0,43.0,144.0,5.0,82.0,141.0,24.0,83.0,5.0,87.0,83.0,105.0,44.0,5.0,102.0,24.0,43.0,41.0,43.0,21.0,84.0,24.0,161.0,23.0,82.0,102.0,43.0,23.0,21.0,23.0,64.0,64.0,23.0,140.0,142.0,122.0,24.0,4.0,83.0,64.0,83.0,142.0,62.0,23.0,24.0,181.0,82.0,102.0,106.0,22.0,4.0,24.0,160.0,100.0,82.0,63.0,83.0,24.0,44.0,122.0,83.0,183.0,82.0,62.0,43.0,4.0,23.0,2.0,42.0,5.0,242.0,4.0,24.0,122.0,43.0,64.0,103.0,23.0,23.0,23.0,82.0,43.0,83.0,101.0,4.0,42.0,23.0,103.0,63.0,2.0,24.0,4.0,63.0,104.0,24.0,141.0,180.0,44.0,66.0,43.0,103.0,66.0,24.0,103.0,24.0,103.0,22.0,4.0,21.0,41.0,102.0,21.0,83.0,23.0,23.0,105.0,24.0,43.0,83.0,24.0,143.0,22.0,102.0,23.0,42.0,123.0,4.0,24.0,22.0,42.0,2.0,83.0,82.0,4.0,102.0,64.0,44.0,122.0,104.0,43.0,162.0,142.0,102.0,4.0,0.0,23.0,64.0,3.0,63.0,4.0,4.0,45.0,62.0,23.0,2.0,4.0,23.0,83.0,21.0,4.0,41.0,83.0,3.0,43.0,83.0,23.0,102.0,24.0,221.0,104.0,43.0,42.0,84.0,43.0,83.0,23.0,4.0,104.0,24.0,62.0,23.0,63.0,83.0,43.0,6.0,81.0,45.0,23.0,43.0,4.0,83.0,44.0,67.0,24.0,42.0,23.0,61.0,1200.0
G_249,20.0,100.0,22.0,140.0,100.0,160.0,21.0,2.0,21.0,1.0,60.0,1.0,60.0,80.0,80.0,3.0,140.0,44.0,22.0,41.0,162.0,80.0,24.0,61.0,160.0,61.0,40.0,20.0,1.0,62.0,141.0,20.0,21.0,62.0,22.0,3.0,61.0,44.0,20.0,80.0,1.0,40.0,3.0,41.0,40.0,42.0,80.0,42.0,41.0,41.0,1.0,41.0,80.0,22.0,24.0,21.0,42.0,63.0,1.0,3.0,142.0,41.0,80.0,21.0,1.0,22.0,41.0,21.0,21.0,41.0,141.0,40.0,21.0,80.0,4.0,100.0,60.0,100.0,21.0,44.0,141.0,41.0,120.0,44.0,82.0,22.0,40.0,62.0,20.0,21.0,101.0,42.0,40.0,43.0,21.0,4.0,42.0,22.0,21.0,21.0,1.0,62.0,120.0,41.0,22.0,21.0,122.0,21.0,60.0,120.0,4.0,61.0,21.0,65.0,63.0,83.0,22.0,21.0,80.0,42.0,61.0,21.0,21.0,41.0,61.0,1.0,140.0,1.0,60.0,80.0,21.0,41.0,41.0,41.0,44.0,42.0,41.0,120.0,120.0,100.0,4.0,21.0,61.0,42.0,62.0,120.0,40.0,1.0,2.0,160.0,60.0,80.0,84.0,41.0,21.0,41.0,140.0,80.0,60.0,40.0,62.0,42.0,22.0,101.0,61.0,161.0,60.0,40.0,20.0,21.0,1.0,22.0,20.0,20.0,220.0,21.0,1.0,100.0,22.0,42.0,81.0,41.0,3.0,2.0,60.0,20.0,63.0,81.0,20.0,20.0,0.0,81.0,41.0,22.0,2.0,21.0,41.0,84.0,2.0,120.0,160.0,22.0,44.0,21.0,81.0,44.0,3.0,80.0,3.0,81.0,42.0,22.0,40.0,61.0,81.0,41.0,61.0,41.0,41.0,83.0,4.0,21.0,61.0,41.0,120.0,3.0,81.0,41.0,20.0,101.0,20.0,2.0,3.0,20.0,22.0,61.0,60.0,21.0,80.0,42.0,22.0,100.0,82.0,21.0,140.0,120.0,80.0,21.0,23.0,0.0,42.0,23.0,41.0,22.0,21.0,23.0,44.0,41.0,22.0,22.0,1.0,61.0,41.0,21.0,61.0,62.0,21.0,21.0,62.0,41.0,80.0,4.0,200.0,82.0,21.0,21.0,62.0,21.0,61.0,41.0,21.0,82.0,2.0,40.0,41.0,41.0,62.0,21.0,24.0,60.0,23.0,1.0,22.0,21.0,61.0,62.0,47.0,4.0,62.0,40.0,41.0,1180.0
G_250,22.0,63.0,23.0,102.0,60.0,123.0,62.0,42.0,23.0,42.0,24.0,42.0,24.0,44.0,42.0,43.0,103.0,2.0,64.0,82.0,125.0,44.0,63.0,21.0,123.0,24.0,4.0,24.0,43.0,102.0,104.0,24.0,24.0,22.0,23.0,43.0,24.0,7.0,22.0,44.0,42.0,4.0,43.0,5.0,82.0,82.0,42.0,82.0,82.0,82.0,42.0,82.0,43.0,62.0,63.0,24.0,82.0,27.0,42.0,44.0,105.0,82.0,43.0,62.0,42.0,62.0,82.0,23.0,23.0,82.0,104.0,3.0,62.0,46.0,44.0,63.0,23.0,63.0,24.0,5.0,104.0,82.0,83.0,7.0,45.0,62.0,3.0,102.0,22.0,62.0,63.0,5.0,82.0,6.0,23.0,42.0,82.0,62.0,23.0,62.0,42.0,102.0,83.0,82.0,23.0,24.0,85.0,62.0,23.0,83.0,44.0,24.0,62.0,30.0,27.0,48.0,24.0,62.0,40.0,82.0,102.0,24.0,23.0,82.0,25.0,42.0,102.0,42.0,23.0,46.0,24.0,82.0,82.0,82.0,4.0,5.0,83.0,83.0,83.0,63.0,44.0,62.0,24.0,5.0,25.0,83.0,3.0,42.0,43.0,123.0,23.0,43.0,47.0,82.0,62.0,82.0,103.0,43.0,23.0,6.0,25.0,82.0,24.0,65.0,24.0,123.0,23.0,4.0,24.0,62.0,42.0,62.0,22.0,62.0,183.0,62.0,43.0,63.0,23.0,3.0,44.0,82.0,43.0,42.0,23.0,23.0,27.0,44.0,62.0,22.0,42.0,44.0,4.0,62.0,43.0,62.0,5.0,47.0,43.0,86.0,123.0,24.0,6.0,23.0,44.0,2.0,44.0,44.0,44.0,44.0,82.0,62.0,82.0,102.0,44.0,82.0,24.0,82.0,82.0,48.0,44.0,24.0,25.0,82.0,83.0,43.0,46.0,82.0,22.0,64.0,62.0,43.0,43.0,22.0,62.0,24.0,23.0,62.0,44.0,5.0,23.0,62.0,45.0,23.0,103.0,83.0,43.0,62.0,64.0,42.0,0.0,63.0,4.0,62.0,62.0,25.0,7.0,82.0,62.0,62.0,42.0,24.0,82.0,62.0,102.0,25.0,62.0,23.0,22.0,82.0,40.0,43.0,163.0,45.0,24.0,24.0,24.0,23.0,23.0,82.0,62.0,42.0,43.0,4.0,82.0,6.0,26.0,23.0,63.0,23.0,23.0,42.0,23.0,62.0,24.0,102.0,12.0,44.0,102.0,82.0,5.0,1140.0
G_251,41.0,121.0,41.0,161.0,121.0,181.0,4.0,22.0,42.0,23.0,82.0,23.0,81.0,102.0,101.0,21.0,161.0,63.0,5.0,23.0,183.0,101.0,5.0,82.0,181.0,82.0,61.0,43.0,23.0,43.0,162.0,43.0,43.0,82.0,42.0,22.0,82.0,63.0,41.0,101.0,23.0,61.0,23.0,62.0,23.0,21.0,101.0,21.0,21.0,23.0,23.0,23.0,101.0,3.0,5.0,42.0,21.0,83.0,22.0,23.0,163.0,23.0,101.0,3.0,23.0,1.0,21.0,42.0,42.0,21.0,161.0,61.0,4.0,103.0,23.0,121.0,81.0,121.0,43.0,65.0,161.0,21.0,141.0,63.0,102.0,3.0,61.0,41.0,41.0,5.0,122.0,62.0,23.0,64.0,41.0,23.0,21.0,3.0,42.0,4.0,23.0,41.0,142.0,23.0,42.0,43.0,143.0,5.0,81.0,141.0,23.0,82.0,5.0,87.0,83.0,105.0,43.0,4.0,101.0,23.0,43.0,42.0,42.0,20.0,82.0,24.0,161.0,23.0,81.0,103.0,43.0,23.0,21.0,23.0,63.0,63.0,24.0,141.0,141.0,121.0,23.0,5.0,81.0,62.0,82.0,141.0,61.0,23.0,23.0,181.0,81.0,101.0,105.0,23.0,4.0,23.0,161.0,101.0,81.0,63.0,82.0,23.0,43.0,121.0,82.0,181.0,81.0,61.0,43.0,4.0,23.0,1.0,41.0,4.0,241.0,3.0,23.0,121.0,42.0,63.0,102.0,23.0,23.0,22.0,81.0,42.0,83.0,101.0,5.0,41.0,23.0,102.0,62.0,1.0,23.0,3.0,62.0,103.0,22.0,143.0,181.0,43.0,65.0,41.0,102.0,65.0,23.0,102.0,23.0,102.0,21.0,3.0,21.0,41.0,101.0,21.0,82.0,23.0,23.0,105.0,23.0,42.0,82.0,23.0,142.0,21.0,102.0,23.0,41.0,122.0,4.0,23.0,21.0,41.0,1.0,82.0,81.0,3.0,101.0,63.0,43.0,121.0,104.0,41.0,161.0,141.0,101.0,3.0,3.0,23.0,63.0,0.0,62.0,3.0,3.0,44.0,61.0,23.0,1.0,3.0,23.0,81.0,20.0,5.0,41.0,82.0,4.0,42.0,82.0,23.0,101.0,22.0,221.0,103.0,43.0,43.0,82.0,42.0,81.0,22.0,4.0,103.0,23.0,61.0,23.0,63.0,83.0,42.0,5.0,81.0,43.0,23.0,42.0,4.0,82.0,43.0,67.0,23.0,41.0,23.0,60.0,1200.0
G_252,21.0,61.0,22.0,102.0,61.0,121.0,61.0,41.0,20.0,41.0,23.0,41.0,22.0,42.0,42.0,41.0,101.0,6.0,62.0,81.0,122.0,42.0,62.0,23.0,121.0,22.0,3.0,22.0,42.0,101.0,103.0,22.0,22.0,24.0,22.0,42.0,23.0,6.0,21.0,43.0,41.0,3.0,41.0,4.0,81.0,80.0,42.0,80.0,81.0,81.0,41.0,81.0,42.0,61.0,60.0,22.0,81.0,26.0,41.0,42.0,103.0,81.0,41.0,61.0,41.0,61.0,81.0,22.0,22.0,81.0,102.0,1.0,61.0,45.0,42.0,61.0,22.0,61.0,23.0,5.0,102.0,81.0,81.0,6.0,43.0,61.0,2.0,101.0,21.0,61.0,63.0,4.0,81.0,5.0,22.0,42.0,81.0,61.0,22.0,61.0,41.0,101.0,82.0,81.0,22.0,23.0,83.0,61.0,21.0,82.0,42.0,22.0,61.0,28.0,26.0,44.0,22.0,61.0,42.0,81.0,101.0,23.0,22.0,81.0,24.0,42.0,102.0,41.0,22.0,45.0,22.0,81.0,81.0,81.0,6.0,4.0,82.0,81.0,81.0,62.0,42.0,61.0,23.0,4.0,24.0,81.0,1.0,41.0,42.0,122.0,22.0,42.0,45.0,81.0,61.0,81.0,101.0,42.0,21.0,5.0,24.0,81.0,22.0,64.0,23.0,123.0,22.0,2.0,22.0,61.0,41.0,61.0,21.0,61.0,181.0,61.0,42.0,61.0,22.0,4.0,43.0,81.0,42.0,40.0,21.0,22.0,26.0,43.0,61.0,21.0,41.0,41.0,3.0,61.0,42.0,60.0,4.0,45.0,42.0,84.0,121.0,22.0,5.0,22.0,42.0,6.0,42.0,42.0,43.0,42.0,81.0,61.0,81.0,101.0,43.0,81.0,23.0,81.0,81.0,46.0,43.0,22.0,23.0,81.0,83.0,42.0,45.0,81.0,21.0,62.0,60.0,42.0,41.0,21.0,61.0,23.0,22.0,61.0,43.0,4.0,22.0,62.0,45.0,22.0,101.0,81.0,41.0,61.0,63.0,41.0,4.0,62.0,0.0,61.0,61.0,24.0,5.0,81.0,61.0,61.0,41.0,23.0,81.0,61.0,101.0,22.0,60.0,22.0,23.0,81.0,42.0,42.0,161.0,43.0,22.0,23.0,24.0,20.0,23.0,81.0,60.0,44.0,42.0,2.0,81.0,5.0,25.0,21.0,60.0,22.0,24.0,41.0,20.0,61.0,22.0,101.0,10.0,42.0,101.0,81.0,4.0,1140.0
